config_id,system_config_id,validator_count,node_degree,propagation_delay,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
52,2211,905,2,31968,531664,270175,7,selfish,0.4657787213448116,0.0151426399118454
53,2211,905,2,31968,531664,270175,7,lead_stubborn,0.4657787213448116,0.0151426399118454
54,2211,905,2,31968,531664,270175,7,trail_stubborn,0.4657787213448116,0.0151426399118454
55,2211,905,2,31968,531664,270175,74,selfish,0.4831039344913304,0.9827660363748432
56,2211,905,2,31968,531664,270175,74,lead_stubborn,0.4831039344913304,0.9827660363748432
57,2211,905,2,31968,531664,270175,74,trail_stubborn,0.4831039344913304,0.9827660363748432
58,2211,905,2,31968,531664,270175,50,selfish,0.3349244931377773,0.5073741801149648
59,2211,905,2,31968,531664,270175,50,lead_stubborn,0.3349244931377773,0.5073741801149648
60,2211,905,2,31968,531664,270175,50,trail_stubborn,0.3349244931377773,0.5073741801149648
61,41,851,2,31968,489134,4111402,48,selfish,0.2114807290736435,0.0244607249130057
62,41,851,2,31968,489134,4111402,48,lead_stubborn,0.2114807290736435,0.0244607249130057
63,41,851,2,31968,489134,4111402,48,trail_stubborn,0.2114807290736435,0.0244607249130057
64,41,851,2,31968,489134,4111402,9,selfish,0.2331676534838964,0.9471927912224244
65,41,851,2,31968,489134,4111402,9,lead_stubborn,0.2331676534838964,0.9471927912224244
66,41,851,2,31968,489134,4111402,9,trail_stubborn,0.2331676534838964,0.9471927912224244
67,41,851,2,31968,489134,4111402,7,selfish,0.4657787213448116,0.0151426399118454
68,41,851,2,31968,489134,4111402,7,lead_stubborn,0.4657787213448116,0.0151426399118454
69,41,851,2,31968,489134,4111402,7,trail_stubborn,0.4657787213448116,0.0151426399118454
70,41,851,2,31968,489134,4111402,74,selfish,0.4831039344913304,0.9827660363748432
71,41,851,2,31968,489134,4111402,74,lead_stubborn,0.4831039344913304,0.9827660363748432
72,41,851,2,31968,489134,4111402,74,trail_stubborn,0.4831039344913304,0.9827660363748432
73,41,851,2,31968,489134,4111402,50,selfish,0.3349244931377773,0.5073741801149648
74,41,851,2,31968,489134,4111402,50,lead_stubborn,0.3349244931377773,0.5073741801149648
75,41,851,2,31968,489134,4111402,50,trail_stubborn,0.3349244931377773,0.5073741801149648
76,61,469,4,31968,299136,7998256,48,selfish,0.2114807290736435,0.0244607249130057
77,61,469,4,31968,299136,7998256,48,lead_stubborn,0.2114807290736435,0.0244607249130057
78,61,469,4,31968,299136,7998256,48,trail_stubborn,0.2114807290736435,0.0244607249130057
79,61,469,4,31968,299136,7998256,9,selfish,0.2331676534838964,0.9471927912224244
80,61,469,4,31968,299136,7998256,9,lead_stubborn,0.2331676534838964,0.9471927912224244
81,61,469,4,31968,299136,7998256,9,trail_stubborn,0.2331676534838964,0.9471927912224244
82,61,469,4,31968,299136,7998256,7,selfish,0.4657787213448116,0.0151426399118454
83,61,469,4,31968,299136,7998256,7,lead_stubborn,0.4657787213448116,0.0151426399118454
84,61,469,4,31968,299136,7998256,7,trail_stubborn,0.4657787213448116,0.0151426399118454
85,61,469,4,31968,299136,7998256,74,selfish,0.4831039344913304,0.9827660363748432
86,61,469,4,31968,299136,7998256,74,lead_stubborn,0.4831039344913304,0.9827660363748432
87,61,469,4,31968,299136,7998256,74,trail_stubborn,0.4831039344913304,0.9827660363748432
88,61,469,4,31968,299136,7998256,50,selfish,0.3349244931377773,0.5073741801149648
89,61,469,4,31968,299136,7998256,50,lead_stubborn,0.3349244931377773,0.5073741801149648
90,61,469,4,31968,299136,7998256,50,trail_stubborn,0.3349244931377773,0.5073741801149648
