system_config_id,core_config_id,bandwidth_variant_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size
47,5,7,599,8,42.7,940127,5147543
48,5,8,599,8,61.0,940127,5147543
49,5,9,599,8,87.4,940127,5147543
50,5,10,599,8,125.0,940127,5147543
51,6,1,29,8,5.0,890055,4550282
52,6,2,29,8,7.1,890055,4550282
53,6,3,29,8,10.2,890055,4550282
54,6,4,29,8,14.6,890055,4550282
55,6,5,29,8,20.9,890055,4550282
56,6,6,29,8,29.9,890055,4550282
57,6,7,29,8,42.7,890055,4550282
58,6,8,29,8,61.0,890055,4550282
59,6,9,29,8,87.4,890055,4550282
60,6,10,29,8,125.0,890055,4550282
61,7,1,645,7,5.0,690687,2454771
62,7,2,645,7,7.1,690687,2454771
63,7,3,645,7,10.2,690687,2454771
64,7,4,645,7,14.6,690687,2454771
65,7,5,645,7,20.9,690687,2454771
66,7,6,645,7,29.9,690687,2454771
67,7,7,645,7,42.7,690687,2454771
68,7,8,645,7,61.0,690687,2454771
69,7,9,645,7,87.4,690687,2454771
70,7,10,645,7,125.0,690687,2454771
71,8,1,564,3,5.0,1012372,3981310
72,8,2,564,3,7.1,1012372,3981310
73,8,3,564,3,10.2,1012372,3981310
74,8,4,564,3,14.6,1012372,3981310
75,8,5,564,3,20.9,1012372,3981310
76,8,6,564,3,29.9,1012372,3981310
77,8,7,564,3,42.7,1012372,3981310
78,8,8,564,3,61.0,1012372,3981310
79,8,9,564,3,87.4,1012372,3981310
80,8,10,564,3,125.0,1012372,3981310
81,9,1,365,3,5.0,582801,3620340
82,9,2,365,3,7.1,582801,3620340
83,9,3,365,3,10.2,582801,3620340
84,9,4,365,3,14.6,582801,3620340
85,9,5,365,3,20.9,582801,3620340
86,9,6,365,3,29.9,582801,3620340
87,9,7,365,3,42.7,582801,3620340
88,9,8,365,3,61.0,582801,3620340
89,9,9,365,3,87.4,582801,3620340
90,9,10,365,3,125.0,582801,3620340
91,10,1,963,5,5.0,650552,1655147
92,10,2,963,5,7.1,650552,1655147
93,10,3,963,5,10.2,650552,1655147
94,10,4,963,5,14.6,650552,1655147
95,10,5,963,5,20.9,650552,1655147
96,10,6,963,5,29.9,650552,1655147
97,10,7,963,5,42.7,650552,1655147
98,10,8,963,5,61.0,650552,1655147
99,10,9,963,5,87.4,650552,1655147
100,10,10,963,5,125.0,650552,1655147
101,11,1,104,4,5.0,637257,4082743
102,11,2,104,4,7.1,637257,4082743
103,11,3,104,4,10.2,637257,4082743
104,11,4,104,4,14.6,637257,4082743
105,11,5,104,4,20.9,637257,4082743
106,11,6,104,4,29.9,637257,4082743
107,11,7,104,4,42.7,637257,4082743
108,11,8,104,4,61.0,637257,4082743
109,11,9,104,4,87.4,637257,4082743
110,11,10,104,4,125.0,637257,4082743
111,12,1,642,5,5.0,1074544,2702765
112,12,2,642,5,7.1,1074544,2702765
113,12,3,642,5,10.2,1074544,2702765
114,12,4,642,5,14.6,1074544,2702765
115,12,5,642,5,20.9,1074544,2702765
116,12,6,642,5,29.9,1074544,2702765
117,12,7,642,5,42.7,1074544,2702765
118,12,8,642,5,61.0,1074544,2702765
119,12,9,642,5,87.4,1074544,2702765
120,12,10,642,5,125.0,1074544,2702765
121,13,1,621,7,5.0,424702,2860996
122,13,2,621,7,7.1,424702,2860996
123,13,3,621,7,10.2,424702,2860996
124,13,4,621,7,14.6,424702,2860996
125,13,5,621,7,20.9,424702,2860996
126,13,6,621,7,29.9,424702,2860996
127,13,7,621,7,42.7,424702,2860996
128,13,8,621,7,61.0,424702,2860996
129,13,9,621,7,87.4,424702,2860996
130,13,10,621,7,125.0,424702,2860996
131,14,1,582,3,5.0,208567,3850795
132,14,2,582,3,7.1,208567,3850795
133,14,3,582,3,10.2,208567,3850795
134,14,4,582,3,14.6,208567,3850795
135,14,5,582,3,20.9,208567,3850795
136,14,6,582,3,29.9,208567,3850795
137,14,7,582,3,42.7,208567,3850795
138,14,8,582,3,61.0,208567,3850795
139,14,9,582,3,87.4,208567,3850795
140,14,10,582,3,125.0,208567,3850795
141,15,1,618,4,5.0,1062757,1523951
142,15,2,618,4,7.1,1062757,1523951
143,15,3,618,4,10.2,1062757,1523951
144,15,4,618,4,14.6,1062757,1523951
145,15,5,618,4,20.9,1062757,1523951
146,15,6,618,4,29.9,1062757,1523951
147,15,7,618,4,42.7,1062757,1523951
148,15,8,618,4,61.0,1062757,1523951
149,15,9,618,4,87.4,1062757,1523951
150,15,10,618,4,125.0,1062757,1523951
151,16,1,855,7,5.0,947189,7772393
152,16,2,855,7,7.1,947189,7772393
153,16,3,855,7,10.2,947189,7772393
154,16,4,855,7,14.6,947189,7772393
155,16,5,855,7,20.9,947189,7772393
156,16,6,855,7,29.9,947189,7772393
157,16,7,855,7,42.7,947189,7772393
158,16,8,855,7,61.0,947189,7772393
159,16,9,855,7,87.4,947189,7772393
160,16,10,855,7,125.0,947189,7772393
161,17,1,208,7,5.0,620168,5691464
162,17,2,208,7,7.1,620168,5691464
163,17,3,208,7,10.2,620168,5691464
164,17,4,208,7,14.6,620168,5691464
165,17,5,208,7,20.9,620168,5691464
166,17,6,208,7,29.9,620168,5691464
167,17,7,208,7,42.7,620168,5691464
168,17,8,208,7,61.0,620168,5691464
169,17,9,208,7,87.4,620168,5691464
170,17,10,208,7,125.0,620168,5691464
171,18,1,747,8,5.0,1141429,6898054
172,18,2,747,8,7.1,1141429,6898054
173,18,3,747,8,10.2,1141429,6898054
174,18,4,747,8,14.6,1141429,6898054
175,18,5,747,8,20.9,1141429,6898054
176,18,6,747,8,29.9,1141429,6898054
177,18,7,747,8,42.7,1141429,6898054
178,18,8,747,8,61.0,1141429,6898054
179,18,9,747,8,87.4,1141429,6898054
180,18,10,747,8,125.0,1141429,6898054
181,19,1,871,3,5.0,1179798,7333864
182,19,2,871,3,7.1,1179798,7333864
183,19,3,871,3,10.2,1179798,7333864
184,19,4,871,3,14.6,1179798,7333864
185,19,5,871,3,20.9,1179798,7333864
186,19,6,871,3,29.9,1179798,7333864
187,19,7,871,3,42.7,1179798,7333864
188,19,8,871,3,61.0,1179798,7333864
189,19,9,871,3,87.4,1179798,7333864
190,19,10,871,3,125.0,1179798,7333864
191,20,1,136,4,5.0,153589,5645635
192,20,2,136,4,7.1,153589,5645635
193,20,3,136,4,10.2,153589,5645635
194,20,4,136,4,14.6,153589,5645635
195,20,5,136,4,20.9,153589,5645635
196,20,6,136,4,29.9,153589,5645635
197,20,7,136,4,42.7,153589,5645635
198,20,8,136,4,61.0,153589,5645635
199,20,9,136,4,87.4,153589,5645635
200,20,10,136,4,125.0,153589,5645635
201,21,1,865,7,5.0,412235,1832679
202,21,2,865,7,7.1,412235,1832679
203,21,3,865,7,10.2,412235,1832679
204,21,4,865,7,14.6,412235,1832679
205,21,5,865,7,20.9,412235,1832679
206,21,6,865,7,29.9,412235,1832679
207,21,7,865,7,42.7,412235,1832679
208,21,8,865,7,61.0,412235,1832679
209,21,9,865,7,87.4,412235,1832679
210,21,10,865,7,125.0,412235,1832679
211,22,1,213,6,5.0,141762,3297552
212,22,2,213,6,7.1,141762,3297552
213,22,3,213,6,10.2,141762,3297552
214,22,4,213,6,14.6,141762,3297552
215,22,5,213,6,20.9,141762,3297552
216,22,6,213,6,29.9,141762,3297552
217,22,7,213,6,42.7,141762,3297552
218,22,8,213,6,61.0,141762,3297552
219,22,9,213,6,87.4,141762,3297552
220,22,10,213,6,125.0,141762,3297552
221,23,1,808,7,5.0,194378,7168707
222,23,2,808,7,7.1,194378,7168707
223,23,3,808,7,10.2,194378,7168707
224,23,4,808,7,14.6,194378,7168707
225,23,5,808,7,20.9,194378,7168707
226,23,6,808,7,29.9,194378,7168707
227,23,7,808,7,42.7,194378,7168707
228,23,8,808,7,61.0,194378,7168707
229,23,9,808,7,87.4,194378,7168707
230,23,10,808,7,125.0,194378,7168707
231,24,1,800,5,5.0,482284,6557948
232,24,2,800,5,7.1,482284,6557948
233,24,3,800,5,10.2,482284,6557948
234,24,4,800,5,14.6,482284,6557948
235,24,5,800,5,20.9,482284,6557948
236,24,6,800,5,29.9,482284,6557948
237,24,7,800,5,42.7,482284,6557948
238,24,8,800,5,61.0,482284,6557948
239,24,9,800,5,87.4,482284,6557948
240,24,10,800,5,125.0,482284,6557948
241,25,1,957,2,5.0,280627,1139953
242,25,2,957,2,7.1,280627,1139953
243,25,3,957,2,10.2,280627,1139953
244,25,4,957,2,14.6,280627,1139953
245,25,5,957,2,20.9,280627,1139953
246,25,6,957,2,29.9,280627,1139953
247,25,7,957,2,42.7,280627,1139953
248,25,8,957,2,61.0,280627,1139953
249,25,9,957,2,87.4,280627,1139953
250,25,10,957,2,125.0,280627,1139953
251,26,1,133,3,5.0,517936,948850
252,26,2,133,3,7.1,517936,948850
253,26,3,133,3,10.2,517936,948850
254,26,4,133,3,14.6,517936,948850
255,26,5,133,3,20.9,517936,948850
256,26,6,133,3,29.9,517936,948850
257,26,7,133,3,42.7,517936,948850
258,26,8,133,3,61.0,517936,948850
259,26,9,133,3,87.4,517936,948850
260,26,10,133,3,125.0,517936,948850
261,27,1,469,5,5.0,133171,7254917
262,27,2,469,5,7.1,133171,7254917
263,27,3,469,5,10.2,133171,7254917
264,27,4,469,5,14.6,133171,7254917
265,27,5,469,5,20.9,133171,7254917
266,27,6,469,5,29.9,133171,7254917
267,27,7,469,5,42.7,133171,7254917
268,27,8,469,5,61.0,133171,7254917
269,27,9,469,5,87.4,133171,7254917
270,27,10,469,5,125.0,133171,7254917
271,28,1,125,5,5.0,1191771,6449186
272,28,2,125,5,7.1,1191771,6449186
273,28,3,125,5,10.2,1191771,6449186
274,28,4,125,5,14.6,1191771,6449186
275,28,5,125,5,20.9,1191771,6449186
276,28,6,125,5,29.9,1191771,6449186
277,28,7,125,5,42.7,1191771,6449186
278,28,8,125,5,61.0,1191771,6449186
279,28,9,125,5,87.4,1191771,6449186
280,28,10,125,5,125.0,1191771,6449186
281,29,1,939,2,5.0,525515,3746875
282,29,2,939,2,7.1,525515,3746875
283,29,3,939,2,10.2,525515,3746875
284,29,4,939,2,14.6,525515,3746875
285,29,5,939,2,20.9,525515,3746875
286,29,6,939,2,29.9,525515,3746875
287,29,7,939,2,42.7,525515,3746875
288,29,8,939,2,61.0,525515,3746875
289,29,9,939,2,87.4,525515,3746875
290,29,10,939,2,125.0,525515,3746875
291,30,1,931,7,5.0,763920,5881002
292,30,2,931,7,7.1,763920,5881002
293,30,3,931,7,10.2,763920,5881002
294,30,4,931,7,14.6,763920,5881002
295,30,5,931,7,20.9,763920,5881002
296,30,6,931,7,29.9,763920,5881002
297,30,7,931,7,42.7,763920,5881002
298,30,8,931,7,61.0,763920,5881002
299,30,9,931,7,87.4,763920,5881002
300,30,10,931,7,125.0,763920,5881002
301,31,1,336,6,5.0,647922,7842665
302,31,2,336,6,7.1,647922,7842665
303,31,3,336,6,10.2,647922,7842665
304,31,4,336,6,14.6,647922,7842665
305,31,5,336,6,20.9,647922,7842665
306,31,6,336,6,29.9,647922,7842665
307,31,7,336,6,42.7,647922,7842665
308,31,8,336,6,61.0,647922,7842665
309,31,9,336,6,87.4,647922,7842665
310,31,10,336,6,125.0,647922,7842665
311,32,1,704,3,5.0,1000261,7536640
312,32,2,704,3,7.1,1000261,7536640
313,32,3,704,3,10.2,1000261,7536640
314,32,4,704,3,14.6,1000261,7536640
315,32,5,704,3,20.9,1000261,7536640
316,32,6,704,3,29.9,1000261,7536640
317,32,7,704,3,42.7,1000261,7536640
318,32,8,704,3,61.0,1000261,7536640
319,32,9,704,3,87.4,1000261,7536640
320,32,10,704,3,125.0,1000261,7536640
321,33,1,726,7,5.0,451913,4586158
322,33,2,726,7,7.1,451913,4586158
323,33,3,726,7,10.2,451913,4586158
324,33,4,726,7,14.6,451913,4586158
325,33,5,726,7,20.9,451913,4586158
326,33,6,726,7,29.9,451913,4586158
327,33,7,726,7,42.7,451913,4586158
328,33,8,726,7,61.0,451913,4586158
329,33,9,726,7,87.4,451913,4586158
330,33,10,726,7,125.0,451913,4586158
331,34,1,223,6,5.0,673812,3540215
332,34,2,223,6,7.1,673812,3540215
333,34,3,223,6,10.2,673812,3540215
334,34,4,223,6,14.6,673812,3540215
335,34,5,223,6,20.9,673812,3540215
336,34,6,223,6,29.9,673812,3540215
337,34,7,223,6,42.7,673812,3540215
338,34,8,223,6,61.0,673812,3540215
339,34,9,223,6,87.4,673812,3540215
340,34,10,223,6,125.0,673812,3540215
341,35,1,816,3,5.0,722477,833558
342,35,2,816,3,7.1,722477,833558
343,35,3,816,3,10.2,722477,833558
344,35,4,816,3,14.6,722477,833558
345,35,5,816,3,20.9,722477,833558
346,35,6,816,3,29.9,722477,833558
347,35,7,816,3,42.7,722477,833558
348,35,8,816,3,61.0,722477,833558
349,35,9,816,3,87.4,722477,833558
350,35,10,816,3,125.0,722477,833558
351,36,1,455,7,5.0,156535,1498820
352,36,2,455,7,7.1,156535,1498820
353,36,3,455,7,10.2,156535,1498820
354,36,4,455,7,14.6,156535,1498820
355,36,5,455,7,20.9,156535,1498820
356,36,6,455,7,29.9,156535,1498820
357,36,7,455,7,42.7,156535,1498820
358,36,8,455,7,61.0,156535,1498820
359,36,9,455,7,87.4,156535,1498820
360,36,10,455,7,125.0,156535,1498820
361,37,1,590,8,5.0,995472,2540501
362,37,2,590,8,7.1,995472,2540501
363,37,3,590,8,10.2,995472,2540501
364,37,4,590,8,14.6,995472,2540501
365,37,5,590,8,20.9,995472,2540501
366,37,6,590,8,29.9,995472,2540501
367,37,7,590,8,42.7,995472,2540501
368,37,8,590,8,61.0,995472,2540501
369,37,9,590,8,87.4,995472,2540501
370,37,10,590,8,125.0,995472,2540501
371,38,1,552,7,5.0,569635,5077854
372,38,2,552,7,7.1,569635,5077854
373,38,3,552,7,10.2,569635,5077854
374,38,4,552,7,14.6,569635,5077854
375,38,5,552,7,20.9,569635,5077854
376,38,6,552,7,29.9,569635,5077854
377,38,7,552,7,42.7,569635,5077854
378,38,8,552,7,61.0,569635,5077854
379,38,9,552,7,87.4,569635,5077854
380,38,10,552,7,125.0,569635,5077854
381,39,1,63,2,5.0,229143,3154915
382,39,2,63,2,7.1,229143,3154915
383,39,3,63,2,10.2,229143,3154915
384,39,4,63,2,14.6,229143,3154915
385,39,5,63,2,20.9,229143,3154915
386,39,6,63,2,29.9,229143,3154915
387,39,7,63,2,42.7,229143,3154915
388,39,8,63,2,61.0,229143,3154915
389,39,9,63,2,87.4,229143,3154915
390,39,10,63,2,125.0,229143,3154915
391,40,1,219,5,5.0,535070,6788045
392,40,2,219,5,7.1,535070,6788045
393,40,3,219,5,10.2,535070,6788045
394,40,4,219,5,14.6,535070,6788045
395,40,5,219,5,20.9,535070,6788045
396,40,6,219,5,29.9,535070,6788045
397,40,7,219,5,42.7,535070,6788045
398,40,8,219,5,61.0,535070,6788045
399,40,9,219,5,87.4,535070,6788045
400,40,10,219,5,125.0,535070,6788045
401,41,1,50,3,5.0,370910,2614782
402,41,2,50,3,7.1,370910,2614782
403,41,3,50,3,10.2,370910,2614782
404,41,4,50,3,14.6,370910,2614782
405,41,5,50,3,20.9,370910,2614782
406,41,6,50,3,29.9,370910,2614782
407,41,7,50,3,42.7,370910,2614782
408,41,8,50,3,61.0,370910,2614782
409,41,9,50,3,87.4,370910,2614782
410,41,10,50,3,125.0,370910,2614782
411,42,1,903,4,5.0,887509,2560879
412,42,2,903,4,7.1,887509,2560879
413,42,3,903,4,10.2,887509,2560879
414,42,4,903,4,14.6,887509,2560879
415,42,5,903,4,20.9,887509,2560879
416,42,6,903,4,29.9,887509,2560879
417,42,7,903,4,42.7,887509,2560879
418,42,8,903,4,61.0,887509,2560879
419,42,9,903,4,87.4,887509,2560879
420,42,10,903,4,125.0,887509,2560879
421,43,1,811,5,5.0,353499,6626861
422,43,2,811,5,7.1,353499,6626861
423,43,3,811,5,10.2,353499,6626861
424,43,4,811,5,14.6,353499,6626861
425,43,5,811,5,20.9,353499,6626861
426,43,6,811,5,29.9,353499,6626861
427,43,7,811,5,42.7,353499,6626861
428,43,8,811,5,61.0,353499,6626861
429,43,9,811,5,87.4,353499,6626861
430,43,10,811,5,125.0,353499,6626861
431,44,1,392,6,5.0,69564,6474543
432,44,2,392,6,7.1,69564,6474543
433,44,3,392,6,10.2,69564,6474543
434,44,4,392,6,14.6,69564,6474543
435,44,5,392,6,20.9,69564,6474543
436,44,6,392,6,29.9,69564,6474543
437,44,7,392,6,42.7,69564,6474543
438,44,8,392,6,61.0,69564,6474543
439,44,9,392,6,87.4,69564,6474543
440,44,10,392,6,125.0,69564,6474543
441,45,1,225,6,5.0,769787,2985363
442,45,2,225,6,7.1,769787,2985363
443,45,3,225,6,10.2,769787,2985363
444,45,4,225,6,14.6,769787,2985363
445,45,5,225,6,20.9,769787,2985363
446,45,6,225,6,29.9,769787,2985363
447,45,7,225,6,42.7,769787,2985363
448,45,8,225,6,61.0,769787,2985363
449,45,9,225,6,87.4,769787,2985363
450,45,10,225,6,125.0,769787,2985363
451,46,1,892,5,5.0,962418,3117110
452,46,2,892,5,7.1,962418,3117110
453,46,3,892,5,10.2,962418,3117110
454,46,4,892,5,14.6,962418,3117110
455,46,5,892,5,20.9,962418,3117110
456,46,6,892,5,29.9,962418,3117110
457,46,7,892,5,42.7,962418,3117110
458,46,8,892,5,61.0,962418,3117110
459,46,9,892,5,87.4,962418,3117110
460,46,10,892,5,125.0,962418,3117110
461,47,1,677,6,5.0,632782,5635856
462,47,2,677,6,7.1,632782,5635856
463,47,3,677,6,10.2,632782,5635856
464,47,4,677,6,14.6,632782,5635856
465,47,5,677,6,20.9,632782,5635856
466,47,6,677,6,29.9,632782,5635856
467,47,7,677,6,42.7,632782,5635856
468,47,8,677,6,61.0,632782,5635856
469,47,9,677,6,87.4,632782,5635856
470,47,10,677,6,125.0,632782,5635856
471,48,1,277,5,5.0,1173981,6918455
472,48,2,277,5,7.1,1173981,6918455
473,48,3,277,5,10.2,1173981,6918455
474,48,4,277,5,14.6,1173981,6918455
475,48,5,277,5,20.9,1173981,6918455
476,48,6,277,5,29.9,1173981,6918455
477,48,7,277,5,42.7,1173981,6918455
478,48,8,277,5,61.0,1173981,6918455
479,48,9,277,5,87.4,1173981,6918455
480,48,10,277,5,125.0,1173981,6918455
481,49,1,41,7,5.0,1151602,7388167
482,49,2,41,7,7.1,1151602,7388167
483,49,3,41,7,10.2,1151602,7388167
484,49,4,41,7,14.6,1151602,7388167
485,49,5,41,7,20.9,1151602,7388167
486,49,6,41,7,29.9,1151602,7388167
487,49,7,41,7,42.7,1151602,7388167
488,49,8,41,7,61.0,1151602,7388167
489,49,9,41,7,87.4,1151602,7388167
490,49,10,41,7,125.0,1151602,7388167
491,50,1,26,4,5.0,786242,338431
492,50,2,26,4,7.1,786242,338431
493,50,3,26,4,10.2,786242,338431
494,50,4,26,4,14.6,786242,338431
495,50,5,26,4,20.9,786242,338431
496,50,6,26,4,29.9,786242,338431
497,50,7,26,4,42.7,786242,338431
498,50,8,26,4,61.0,786242,338431
499,50,9,26,4,87.4,786242,338431
500,50,10,26,4,125.0,786242,338431
501,51,1,636,4,5.0,983429,1947501
502,51,2,636,4,7.1,983429,1947501
503,51,3,636,4,10.2,983429,1947501
504,51,4,636,4,14.6,983429,1947501
505,51,5,636,4,20.9,983429,1947501
506,51,6,636,4,29.9,983429,1947501
507,51,7,636,4,42.7,983429,1947501
508,51,8,636,4,61.0,983429,1947501
509,51,9,636,4,87.4,983429,1947501
510,51,10,636,4,125.0,983429,1947501
511,52,1,984,8,5.0,116439,5472286
512,52,2,984,8,7.1,116439,5472286
513,52,3,984,8,10.2,116439,5472286
514,52,4,984,8,14.6,116439,5472286
515,52,5,984,8,20.9,116439,5472286
516,52,6,984,8,29.9,116439,5472286
517,52,7,984,8,42.7,116439,5472286
518,52,8,984,8,61.0,116439,5472286
519,52,9,984,8,87.4,116439,5472286
520,52,10,984,8,125.0,116439,5472286
521,53,1,404,8,5.0,261804,2429479
522,53,2,404,8,7.1,261804,2429479
523,53,3,404,8,10.2,261804,2429479
524,53,4,404,8,14.6,261804,2429479
525,53,5,404,8,20.9,261804,2429479
526,53,6,404,8,29.9,261804,2429479
527,53,7,404,8,42.7,261804,2429479
528,53,8,404,8,61.0,261804,2429479
529,53,9,404,8,87.4,261804,2429479
530,53,10,404,8,125.0,261804,2429479
531,54,1,245,5,5.0,345160,5433288
532,54,2,245,5,7.1,345160,5433288
533,54,3,245,5,10.2,345160,5433288
534,54,4,245,5,14.6,345160,5433288
535,54,5,245,5,20.9,345160,5433288
536,54,6,245,5,29.9,345160,5433288
537,54,7,245,5,42.7,345160,5433288
538,54,8,245,5,61.0,345160,5433288
539,54,9,245,5,87.4,345160,5433288
540,54,10,245,5,125.0,345160,5433288
541,55,1,749,5,5.0,991651,3043360
542,55,2,749,5,7.1,991651,3043360
543,55,3,749,5,10.2,991651,3043360
544,55,4,749,5,14.6,991651,3043360
545,55,5,749,5,20.9,991651,3043360
546,55,6,749,5,29.9,991651,3043360
547,55,7,749,5,42.7,991651,3043360
548,55,8,749,5,61.0,991651,3043360
549,55,9,749,5,87.4,991651,3043360
550,55,10,749,5,125.0,991651,3043360
551,56,1,475,7,5.0,857879,2331062
552,56,2,475,7,7.1,857879,2331062
553,56,3,475,7,10.2,857879,2331062
554,56,4,475,7,14.6,857879,2331062
555,56,5,475,7,20.9,857879,2331062
556,56,6,475,7,29.9,857879,2331062
557,56,7,475,7,42.7,857879,2331062
558,56,8,475,7,61.0,857879,2331062
559,56,9,475,7,87.4,857879,2331062
560,56,10,475,7,125.0,857879,2331062
561,57,1,323,8,5.0,621098,7452855
562,57,2,323,8,7.1,621098,7452855
563,57,3,323,8,10.2,621098,7452855
564,57,4,323,8,14.6,621098,7452855
565,57,5,323,8,20.9,621098,7452855
566,57,6,323,8,29.9,621098,7452855
567,57,7,323,8,42.7,621098,7452855
568,57,8,323,8,61.0,621098,7452855
569,57,9,323,8,87.4,621098,7452855
570,57,10,323,8,125.0,621098,7452855
571,58,1,183,4,5.0,558235,7891629
572,58,2,183,4,7.1,558235,7891629
573,58,3,183,4,10.2,558235,7891629
574,58,4,183,4,14.6,558235,7891629
575,58,5,183,4,20.9,558235,7891629
576,58,6,183,4,29.9,558235,7891629
577,58,7,183,4,42.7,558235,7891629
578,58,8,183,4,61.0,558235,7891629
579,58,9,183,4,87.4,558235,7891629
580,58,10,183,4,125.0,558235,7891629
581,59,1,555,2,5.0,1149320,4915645
582,59,2,555,2,7.1,1149320,4915645
583,59,3,555,2,10.2,1149320,4915645
584,59,4,555,2,14.6,1149320,4915645
585,59,5,555,2,20.9,1149320,4915645
586,59,6,555,2,29.9,1149320,4915645
587,59,7,555,2,42.7,1149320,4915645
588,59,8,555,2,61.0,1149320,4915645
589,59,9,555,2,87.4,1149320,4915645
590,59,10,555,2,125.0,1149320,4915645
591,60,1,203,3,5.0,1025262,7304156
592,60,2,203,3,7.1,1025262,7304156
593,60,3,203,3,10.2,1025262,7304156
594,60,4,203,3,14.6,1025262,7304156
595,60,5,203,3,20.9,1025262,7304156
596,60,6,203,3,29.9,1025262,7304156
597,60,7,203,3,42.7,1025262,7304156
598,60,8,203,3,61.0,1025262,7304156
599,60,9,203,3,87.4,1025262,7304156
600,60,10,203,3,125.0,1025262,7304156
601,61,1,879,5,5.0,697312,4456442
602,61,2,879,5,7.1,697312,4456442
603,61,3,879,5,10.2,697312,4456442
604,61,4,879,5,14.6,697312,4456442
605,61,5,879,5,20.9,697312,4456442
606,61,6,879,5,29.9,697312,4456442
607,61,7,879,5,42.7,697312,4456442
608,61,8,879,5,61.0,697312,4456442
609,61,9,879,5,87.4,697312,4456442
610,61,10,879,5,125.0,697312,4456442
611,62,1,539,4,5.0,564144,5898035
612,62,2,539,4,7.1,564144,5898035
613,62,3,539,4,10.2,564144,5898035
614,62,4,539,4,14.6,564144,5898035
615,62,5,539,4,20.9,564144,5898035
616,62,6,539,4,29.9,564144,5898035
617,62,7,539,4,42.7,564144,5898035
618,62,8,539,4,61.0,564144,5898035
619,62,9,539,4,87.4,564144,5898035
620,62,10,539,4,125.0,564144,5898035
621,63,1,742,4,5.0,972266,6502101
622,63,2,742,4,7.1,972266,6502101
623,63,3,742,4,10.2,972266,6502101
624,63,4,742,4,14.6,972266,6502101
625,63,5,742,4,20.9,972266,6502101
626,63,6,742,4,29.9,972266,6502101
627,63,7,742,4,42.7,972266,6502101
628,63,8,742,4,61.0,972266,6502101
629,63,9,742,4,87.4,972266,6502101
630,63,10,742,4,125.0,972266,6502101
631,64,1,328,2,5.0,388142,4020608
632,64,2,328,2,7.1,388142,4020608
633,64,3,328,2,10.2,388142,4020608
634,64,4,328,2,14.6,388142,4020608
635,64,5,328,2,20.9,388142,4020608
636,64,6,328,2,29.9,388142,4020608
637,64,7,328,2,42.7,388142,4020608
638,64,8,328,2,61.0,388142,4020608
639,64,9,328,2,87.4,388142,4020608
640,64,10,328,2,125.0,388142,4020608
641,65,1,587,3,5.0,663189,4363208
642,65,2,587,3,7.1,663189,4363208
643,65,3,587,3,10.2,663189,4363208
644,65,4,587,3,14.6,663189,4363208
645,65,5,587,3,20.9,663189,4363208
646,65,6,587,3,29.9,663189,4363208
647,65,7,587,3,42.7,663189,4363208
648,65,8,587,3,61.0,663189,4363208
649,65,9,587,3,87.4,663189,4363208
650,65,10,587,3,125.0,663189,4363208
651,66,1,488,5,5.0,60818,6314311
652,66,2,488,5,7.1,60818,6314311
653,66,3,488,5,10.2,60818,6314311
654,66,4,488,5,14.6,60818,6314311
655,66,5,488,5,20.9,60818,6314311
656,66,6,488,5,29.9,60818,6314311
