config_id,validator_count,node_degree,propagation_delay,block_creation_interval,max_block_size,attacker_hash_power,tie_breaking_parameter,number_of_attackers,attacker_hash_power_realized
36,121,22,7678,242,3,0.37571442036145636,0.9622650187364953,45,0.371900826446281
37,341,132,10303,122,6,0.5904526106882042,0.41386688228608964,167,0.4897360703812317
38,269,110,29091,105,5,0.25,0.7736689365545294,67,0.24907063197026022
39,127,100,35503,267,3,0.5359460412009471,0.44589323613474563,62,0.4881889763779528
40,546,159,39371,780,2,0.6020430252300382,0.4222977367463556,267,0.489010989010989
41,490,146,29180,276,1,0.6852172326040156,0.8679014917601449,240,0.4897959183673469
42,774,114,35198,662,2,0.5938226309024299,0.6887712405189163,379,0.4896640826873385
43,83,1,18458,904,6,0.25,0.22044200729084376,21,0.25301204819277107
44,44,43,36799,408,2,0.7511432662929702,0.3187208734575258,21,0.4772727272727273
45,758,197,36633,153,2,0.25,0.5732672151003475,190,0.25065963060686014
46,209,16,25091,252,7,0.563348702539811,0.6550381791433998,102,0.4880382775119617
47,682,128,35038,208,2,0.8208541888135079,0.22650642077730193,334,0.4897360703812317
48,518,69,20866,129,1,0.4044277133011418,0.7666954847870683,209,0.4034749034749035
49,812,7,15070,373,6,0.3956636514724085,0.3703982316478298,321,0.39532019704433496
50,838,84,11673,923,3,0.25,0.7858099016048713,210,0.25059665871121717
51,235,81,9946,369,0,0.5186695848611128,0.6858001363820553,115,0.48936170212765956
52,754,79,9129,1182,1,0.0,0.22982458197617844,0,0.0
53,721,28,10001,193,2,0.7629588189208671,0.5404749357058587,353,0.4895977808599168
54,999,154,21534,829,6,0.0,0.1711241919256025,0,0.0
55,958,124,8942,1075,7,0.0,0.43079138539240214,0,0.0
56,759,19,16419,769,1,0.5331831273917778,0.5957561566433297,371,0.4888010540184453
57,51,50,20190,998,1,0.8561864973645181,0.6521151914983829,24,0.47058823529411764
58,303,81,26410,911,5,0.5192041514790274,0.2345269535645962,148,0.4884488448844885
59,702,89,8419,532,0,0.7250394746538946,0.021819118546031736,343,0.4886039886039886
60,116,36,34892,678,6,0.8103314508062474,0.5381787235457381,56,0.4827586206896552
61,523,59,33834,1059,2,0.4900779254647968,0.5517620933785196,256,0.4894837476099426
62,598,206,31136,81,5,0.25,0.6127723434883819,150,0.2508361204013378
63,782,66,28801,746,0,0.618720371911406,0.08629773780047613,383,0.489769820971867
64,829,68,26520,121,8,0.4350150560277778,0.13277691278804585,361,0.43546441495778043
65,521,241,9227,613,3,0.5264021010296167,0.3298165579883516,255,0.4894433781190019
66,92,91,39835,236,4,0.6989986215900579,0.3861642800067485,45,0.4891304347826087
67,39,38,37147,403,7,0.0,0.5117031220201599,0,0.0
68,433,180,14831,1083,4,0.6504106942359063,0.06010501390991043,212,0.4896073903002309
69,404,205,39512,469,1,0.48389532006262426,0.268823387503182,195,0.48267326732673266
70,886,31,36963,269,1,0.0,0.08886845619913616,0,0.0
71,493,242,14764,732,3,0.7057731469800803,0.9171371636096401,241,0.48884381338742394
72,924,25,28940,1189,8,0.0,0.2677016316322273,0,0.0
73,938,130,6948,197,5,0.25,0.29585588170585414,234,0.24946695095948826
74,52,51,29753,114,4,0.0,0.21451461486654982,0,0.0
75,973,94,24505,205,1,0.25,0.6257606548882703,243,0.249743062692703
76,421,97,20648,1157,3,0.5722163827631415,0.018589187269031974,206,0.48931116389548696
77,498,39,25795,459,7,0.0,0.7787071459238835,0,0.0
78,499,188,33397,405,3,0.37946608296897716,0.2323567737259772,189,0.3787575150300601
79,646,50,19112,875,8,0.0,0.8776381466955382,0,0.0
80,689,238,26249,549,1,0.8591997896381431,0.5067058564037134,337,0.48911465892597966
81,673,99,29327,939,3,0.4187312241887744,0.6222502983023896,282,0.41901931649331353
82,288,154,23104,921,2,0.0,0.9929985176275953,0,0.0
83,93,92,24931,975,6,0.6124964671888666,0.03500236608293703,45,0.4838709677419355
84,145,144,36107,582,1,0.6518367842242037,0.9414295578290123,71,0.4896551724137931
85,810,35,34808,254,6,0.5421621319318191,0.3756237915437573,396,0.4888888888888889
86,113,44,36206,186,6,0.0,0.156477134873632,0,0.0
87,602,248,13604,1191,1,0.7766402543003428,0.28253517299401243,294,0.4883720930232558
88,354,119,39549,416,6,0.6251964804563169,0.5377097394906699,173,0.4887005649717514
89,109,108,23979,945,8,0.0,0.8140289196610101,0,0.0
90,359,185,17929,535,6,0.0,0.5768995206161835,0,0.0
91,403,66,38323,132,5,0.5862470047924396,0.928649388742665,197,0.48883374689826303
92,474,143,18885,891,1,0.839522514081902,0.5215309296991174,232,0.48945147679324896
93,675,193,21173,1194,5,0.5387585497952199,0.3765005412985575,330,0.4888888888888889
94,543,74,11643,670,6,0.0,0.013402112697762189,0,0.0
95,201,83,20485,1187,4,0.0,0.6693161461229087,0,0.0
96,917,235,27806,919,6,0.5738699975211962,0.00424159995138451,449,0.48964013086150493
97,406,228,38725,937,1,0.0,0.7511002814001118,0,0.0
98,617,232,28151,1005,1,0.7941116436290674,0.6013134150752423,302,0.48946515397082657
99,428,22,14356,659,4,0.7877729480910787,0.5163721686325808,209,0.4883177570093458
100,251,244,23006,289,6,0.8408262340716712,0.7084983273331271,122,0.4860557768924303
101,479,43,33022,1032,7,0.8879086616081171,0.6284160511497173,234,0.48851774530271397
102,154,153,30253,1011,7,0.644059506179635,0.7066033631842628,75,0.487012987012987
103,444,154,6812,789,1,0.4581588234288769,0.9689745358713998,203,0.4572072072072072
104,819,219,28086,1004,0,0.4306555067438931,0.3940708375911274,353,0.43101343101343104
105,725,229,35374,343,7,0.590932848112375,0.13055036635550624,355,0.4896551724137931
106,518,14,31175,1178,2,0.8172948048288948,0.8337758592580026,253,0.48841698841698844
107,832,186,36683,209,7,0.7075961421717949,0.6278188418829291,407,0.4891826923076923
108,963,156,38230,873,7,0.47427434547064834,0.5930359384808274,457,0.4745586708203531
109,627,72,26999,882,3,0.5483893643838196,0.45390525195998904,307,0.48963317384370014
110,982,98,34731,889,2,0.0,0.3007597014267434,0,0.0
111,310,230,36167,729,1,0.25,0.7426031428908423,78,0.25161290322580643
112,684,42,6644,833,3,0.6921637595975818,0.2758345400001551,335,0.489766081871345
113,998,103,16300,800,3,0.6491854019567257,0.7555672886095492,489,0.48997995991983967
114,898,138,11424,586,3,0.41253077904935087,0.25217483451171613,370,0.41202672605790647
115,859,46,38008,1149,6,0.25,0.05353583907866042,215,0.25029103608847497
116,611,166,16820,362,3,0.587326372265556,0.2579668403962049,299,0.48936170212765956
117,807,144,21700,929,7,0.5313208232959967,0.9907564159402785,395,0.48946716232961585
118,215,161,27565,259,2,0.45082925675242036,0.12596367891217128,97,0.4511627906976744
119,178,37,37797,213,2,0.5996250428238745,0.1972076669998815,87,0.4887640449438202
120,256,44,19594,165,7,0.8049974239952191,0.28897083389622896,125,0.48828125
121,825,212,16725,443,1,0.6234078936928762,0.2739310580143345,404,0.4896969696969697
122,919,49,17692,431,3,0.7790130186569388,0.5043541282456139,450,0.4896626768226333
123,656,248,12677,424,8,0.25,0.4661209103184409,164,0.25
124,979,194,31788,785,3,0.8651881984449505,0.8284038051283634,479,0.48927477017364657
125,128,127,14957,714,3,0.5470994095303192,0.3445613749326184,62,0.484375
126,150,73,39108,619,5,0.7335861921588007,0.8267964504882646,73,0.4866666666666667
127,449,101,35699,1053,5,0.3916164478297633,0.0068737289128297805,176,0.39198218262806234
128,315,175,38571,499,4,0.25,0.644857573617296,79,0.2507936507936508
129,513,34,29415,377,3,0.7545105199237867,0.8659096537660211,251,0.48927875243664715
130,894,233,16037,1112,1,0.25,0.2054104521008509,224,0.2505592841163311
131,454,8,24389,176,1,0.25,0.05840097478856354,114,0.2511013215859031
132,319,245,17386,1165,4,0.25,0.34691527119539556,80,0.2507836990595611
133,411,119,15211,556,1,0.4696399139754113,0.03167882337483016,193,0.46958637469586373
134,553,204,8593,1098,2,0.8032998096999133,0.6728919277129218,270,0.488245931283906
135,630,3,8777,982,5,0.584421004896166,0.8257312661733739,308,0.4888888888888889
136,35,34,27414,1057,5,0.4007589725135923,0.10373788449688537,14,0.4
137,65,64,32165,1114,2,0.5044752738701972,0.11449307892112733,31,0.47692307692307695
138,968,224,9021,1105,3,0.507071990102131,0.4875434942490732,474,0.4896694214876033
139,36,35,13293,87,4,0.0,0.5435228943587452,0,0.0
140,212,77,7196,1051,7,0.6836553594721155,0.3396592169816827,103,0.4858490566037736
141,197,9,38610,916,1,0.7013110677984169,0.17931722586523655,96,0.4873096446700508
142,590,207,8055,451,7,0.25,0.8976028326729374,148,0.25084745762711863
143,369,123,18054,514,3,0.48009716802077235,0.9237826857934754,177,0.4796747967479675
144,310,131,24044,93,4,0.25,0.35140740073909305,78,0.25161290322580643
145,393,108,32586,1016,3,0.7415886096159909,0.1527737811620117,192,0.48854961832061067
146,960,184,18997,99,0,0.569488956341146,0.29250076276215425,470,0.4895833333333333
147,418,164,20990,292,4,0.665010295123073,0.8805229785746268,204,0.4880382775119617
148,62,61,33051,411,6,0.576829320348659,0.46501342004829865,30,0.4838709677419355
149,165,130,25419,538,4,0.8626655141075945,0.6777069063469797,80,0.48484848484848486
150,709,188,7755,771,5,0.8749951174380455,0.44676066294806027,347,0.4894217207334274
151,325,21,9083,479,5,0.7542734286901394,0.9969429165421151,159,0.48923076923076925
152,70,69,32650,735,3,0.0,0.8347490436861722,0,0.0
153,372,109,30065,927,1,0.47626171544250806,0.478249784773355,177,0.47580645161290325
154,699,234,39312,1174,4,0.48538506426912353,0.8610203514878151,339,0.48497854077253216
155,383,69,29745,773,3,0.8489342143574738,0.3560435911384709,187,0.48825065274151436
156,786,8,15092,980,7,0.0,0.7989686251229561,0,0.0
157,846,80,27903,719,2,0.7742575215765459,0.09854431340206256,414,0.48936170212765956
158,947,206,9901,644,6,0.6968063393018374,0.415804910586454,464,0.48996832101372756
159,300,199,10178,951,3,0.6894080795344344,0.38150663924554773,147,0.49
160,779,171,30481,634,8,0.3872211149868208,0.6202303018809874,302,0.38767650834403083
161,281,4,9727,1091,7,0.25,0.6488154500991112,70,0.2491103202846975
162,822,112,10349,751,3,0.0,0.4331009355177529,0,0.0
163,679,117,19331,547,5,0.37758905783666147,0.37864458277109103,256,0.37702503681885124
164,612,132,18907,1156,4,0.47897081880147246,0.7487103616112815,293,0.47875816993464054
165,137,136,18282,304,1,0.4624376322371421,0.2868914288285471,63,0.45985401459854014
166,688,157,26610,346,6,0.7403603187212,0.41073674291565737,337,0.4898255813953488
167,820,83,38902,637,6,0.77744548152723,0.3259670355988077,401,0.48902439024390243
168,290,109,20258,294,7,0.0,0.2024994680241035,0,0.0
169,748,231,7557,84,1,0.8547162482114938,0.11614167473545786,366,0.4893048128342246
170,856,17,29828,834,5,0.691124256640332,0.4726929203486127,419,0.4894859813084112
171,382,32,24196,689,4,0.25,0.8432614543173181,96,0.2513089005235602
172,869,173,20758,786,3,0.42842056299796627,0.38457893445651464,372,0.428078250863061
173,447,71,39625,298,8,0.0,0.8690502463270486,0,0.0
174,254,39,10874,164,5,0.7581593505340098,0.5548718097259056,124,0.4881889763779528
175,346,40,35265,716,3,0.8770048855254802,0.7044721532199868,169,0.4884393063583815
176,488,16,19163,1162,2,0.6794367131382884,0.15082845734969055,239,0.48975409836065575
177,956,211,15665,1168,8,0.7989850558351281,0.6396369537837806,468,0.4895397489539749
178,641,62,37232,946,8,0.25,0.14469000815159708,160,0.24960998439937598
179,881,227,38801,991,3,0.6754719974475021,0.04155116821465063,431,0.489216799091941
180,595,195,25337,309,5,0.25,0.0440066455769617,149,0.2504201680672269
181,816,28,10830,993,4,0.4718713326483774,0.05565931761268296,385,0.47181372549019607
182,586,179,29515,842,5,0.4142658012141248,0.4548304945943901,243,0.41467576791808874
183,212,159,32407,445,6,0.48617493636742154,0.8202037598389978,103,0.4858490566037736
184,727,108,14230,933,0,0.7158055726410308,0.7373414750808045,356,0.4896836313617607
185,111,110,27239,154,1,0.8069684737748746,0.06330853838847474,54,0.4864864864864865
186,888,55,28710,610,4,0.8184996454384157,0.05087465517885028,435,0.48986486486486486
187,436,104,26914,78,4,0.4482634732774118,0.7918948480193538,195,0.44724770642201833
188,124,10,33238,277,4,0.79129519293148,0.10863916238866016,60,0.4838709677419355
189,858,232,24540,147,6,0.5366117849358791,0.16998905378233076,420,0.48951048951048953
190,101,33,16656,1161,3,0.0,0.7683834970558714,0,0.0
191,761,174,19803,529,5,0.7973259719795049,0.02347038564535684,372,0.4888304862023653
192,469,209,29255,899,5,0.0,0.9773418502591975,0,0.0
193,57,56,11899,1131,3,0.6772342412835499,0.605591973706892,27,0.47368421052631576
194,804,12,33169,1152,5,0.7116314307068587,0.39317525017140553,393,0.48880597014925375
195,511,114,16555,228,7,0.6294545849251287,0.8457964280225019,250,0.4892367906066536
196,598,206,9602,593,2,0.0,0.08410536040854079,0,0.0
197,573,39,24845,988,2,0.0,0.5027315311320666,0,0.0
198,267,209,15315,1094,6,0.44925780946363925,0.26591920154231563,120,0.449438202247191
199,326,56,15710,979,0,0.0,0.9077649912354948,0,0.0
200,739,147,32151,61,7,0.0,0.017205533397054353,0,0.0
201,874,6,22783,201,3,0.5335654223945182,0.532071253610217,428,0.4897025171624714
202,966,193,39423,1045,8,0.5222209834822764,0.1541132352974443,473,0.489648033126294
203,156,140,12292,321,8,0.6736898249782177,0.12659032335391363,76,0.48717948717948717
204,913,77,27311,454,7,0.25,0.8826122813315821,228,0.2497261774370208
205,283,126,34034,185,7,0.7107794673221555,0.995588360413974,138,0.4876325088339223
206,866,191,25683,1043,1,0.667269095390463,0.8939017647124999,424,0.4896073903002309
207,864,244,19516,971,6,0.7424478935628278,0.35474802088660184,423,0.4895833333333333
208,378,23,12560,899,4,0.6433129389139407,0.9088695277870377,185,0.4894179894179894
209,430,151,25030,907,5,0.8838433326309609,0.4076343824591381,210,0.4883720930232558
210,193,75,32300,460,1,0.6948761727184107,0.8016622539167746,94,0.48704663212435234
211,988,60,27735,576,6,0.49328852991931044,0.7176414633836845,484,0.4898785425101215
212,871,127,15580,475,1,0.8291698607163904,0.9475440644555536,426,0.4890929965556831
213,566,42,28382,1181,1,0.6107899469844624,0.29102576916016715,277,0.48939929328621906
214,908,247,34320,795,1,0.41014227446248486,0.9798758737869196,372,0.40969162995594716
215,715,129,22334,742,3,0.0,0.19041049888316486,0,0.0
216,142,59,21343,1100,3,0.8914335255127523,0.6616660541601845,69,0.4859154929577465
217,415,85,32704,146,4,0.6214615346766683,0.7297845181080882,203,0.4891566265060241
218,223,65,21728,307,5,0.3810085794246203,0.05764963886428799,85,0.3811659192825112
219,767,15,31640,98,1,0.0,0.5452706434192425,0,0.0
220,973,201,31526,273,2,0.25,0.9251035187336588,243,0.249743062692703
221,677,214,34951,953,3,0.25,0.3038563557189942,169,0.24963072378138848
222,633,31,10996,819,7,0.6643995337774234,0.9455584041575821,310,0.48973143759873616
223,619,166,24595,481,4,0.6453859588127506,0.6631972888848932,303,0.4894991922455573
224,920,177,17427,1102,6,0.8606863843994066,0.9359683888891197,450,0.4891304347826087
225,152,4,24161,1048,8,0.7352553495010676,0.7567378691142562,74,0.4868421052631579
226,104,103,22590,849,7,0.7699541413900988,0.27919525823365565,50,0.4807692307692308
227,502,136,14091,156,2,0.564620197505366,0.45098734013675873,245,0.48804780876494025
228,560,241,20417,246,2,0.0,0.6026373410546206,0,0.0
229,465,210,34409,103,6,0.8900039224334346,0.4412933246098631,227,0.4881720430107527
230,732,86,18750,343,7,0.39959806013013993,0.3351349688135153,293,0.40027322404371585
231,165,124,13734,859,5,0.0,0.2619913884486646,0,0.0
232,770,113,29402,1196,4,0.6565544810096544,0.6878219159898499,377,0.4896103896103896
233,876,116,19718,657,1,0.25,0.6150411658503883,219,0.25
234,934,194,23204,394,7,0.487341469593202,0.4961533060645484,455,0.487152034261242
235,637,99,21591,139,3,0.8129192125401499,0.211629249454395,312,0.4897959183673469
236,929,174,10770,158,2,0.41627437401381673,0.8234517312126228,387,0.41657696447793324
237,243,61,33457,836,4,0.46446446579097306,0.00920160939468442,113,0.46502057613168724
238,643,53,39220,389,4,0.8819314504649287,0.9648560987487176,315,0.48989113530326595
239,936,73,8038,1029,4,0.4745844689836039,0.08248006623259854,444,0.47435897435897434
240,986,167,36429,558,4,0.7559726506057476,0.580945084739855,483,0.4898580121703854
241,830,69,34590,467,1,0.5258663260588932,0.30699425012603926,406,0.4891566265060241
242,313,178,37026,231,3,0.5513438669861781,0.16485025614075394,153,0.48881789137380194
243,25,24,6554,464,6,0.0,0.3885324930051242,0,0.0
244,879,213,20615,296,5,0.7178686690463891,0.809072648570637,430,0.4891922639362912
245,538,58,18507,914,5,0.0,0.3333973592846748,0,0.0
246,379,215,22750,68,2,0.8285657688227652,0.9195596842176953,185,0.48812664907651715
247,932,215,27656,518,7,0.0,0.475938214325928,0,0.0
248,635,13,22443,653,6,0.6467867476349849,0.18050786404208127,311,0.48976377952755906
249,140,139,12360,1025,2,0.4096769551726259,0.8466456480766733,57,0.40714285714285714
250,505,218,38094,1041,3,0.6711334126504734,0.4702788601614113,247,0.4891089108910891
251,983,225,14409,364,5,0.6370193479599332,0.7637179454001,481,0.4893184130213632
252,743,94,8850,864,6,0.8521035189711472,0.5698199972179099,364,0.4899057873485868
253,563,81,39666,1119,6,0.558641843566173,0.6788395195665141,275,0.48845470692717585
254,693,216,17555,1022,5,0.25,0.7411052144964158,173,0.24963924963924963
255,795,110,9571,203,6,0.815408172352019,0.8495072955164336,389,0.48930817610062893
256,296,142,16356,1117,6,0.7841289658327506,0.5233846690672419,145,0.48986486486486486
257,890,218,10660,367,5,0.0,0.8909323199734521,0,0.0
258,323,135,20059,758,5,0.702828741742554,0.8411358139204498,158,0.4891640866873065
259,247,11,18765,702,8,0.5675826523154828,0.41851418738028384,121,0.4898785425101215
260,366,227,24442,195,8,0.25,0.31276056122124074,92,0.25136612021857924
261,400,183,30987,1071,7,0.5791509225163853,0.9876911538239557,196,0.49
262,183,139,37458,125,2,0.43363746096893785,0.6402379278961643,79,0.43169398907103823
263,572,134,34171,926,4,0.8104182775863145,0.0959357018243943,280,0.48951048951048953
264,286,24,38329,500,7,0.8574608747054595,0.0007168773480712955,140,0.48951048951048953
265,897,128,30739,679,3,0.7244353038354512,0.21630053961719756,439,0.48940914158305465
266,173,172,26779,725,1,0.0,0.3600129549537083,0,0.0
267,747,153,33600,1175,2,0.7317145951217385,0.9581793461796295,366,0.4899598393574297
268,291,76,21303,598,3,0.8380119226037053,0.3964031033103439,142,0.4879725085910653
269,219,198,17292,1171,2,0.8239509982346283,0.029769347123778024,107,0.4885844748858447
270,187,57,30874,1145,5,0.65380927076951,0.23110743532283912,91,0.48663101604278075
271,170,169,12962,805,7,0.7482971138438252,0.19468825427803432,83,0.48823529411764705
272,663,105,21878,1009,5,0.6804116910416095,0.36368920576148545,324,0.48868778280542985
273,905,202,32051,527,3,0.4543812247981669,0.20677919178165138,411,0.45414364640883975
274,868,106,13893,338,1,0.25,0.5601332232863101,217,0.25
275,162,151,37557,766,5,0.0,0.04318335395473402,0,0.0
276,686,13,38979,438,4,0.4076983868379702,0.4939779666652315,280,0.40816326530612246
277,834,141,10399,552,6,0.0,0.6435088679223812,0,0.0
278,625,53,27173,542,3,0.8694458182402431,0.0706660756728732,306,0.4896
279,637,245,33689,561,6,0.5128713595787259,0.7864739614064465,312,0.4897959183673469
280,910,27,6971,116,8,0.6005052213833747,0.6583240395626893,445,0.489010989010989
281,158,157,22245,1150,6,0.4378949757697078,0.9384388377249467,69,0.43670886075949367
282,179,175,18629,651,8,0.3823736257356167,0.01126202289339931,68,0.37988826815642457
283,119,74,30790,172,5,0.4236986587525492,0.3042808777331622,50,0.42016806722689076
284,388,67,12782,1185,6,0.25,0.4613645553303814,97,0.25
285,657,141,39056,191,3,0.8677002577316868,0.49104938876423276,321,0.4885844748858447
286,79,78,17667,595,1,0.768620175243671,0.796261892427446,38,0.4810126582278481
287,90,89,12893,409,2,0.5582017054448378,0.8853441522329385,44,0.4888888888888889
288,148,78,14627,674,6,0.6096418972508052,0.9669562471306222,72,0.4864864864864865
289,435,35,21400,909,6,0.25,0.6571034952908925,109,0.25057471264367814
290,878,18,32887,507,5,0.6262573823485557,0.7714762072508705,430,0.489749430523918
291,931,27,29659,248,2,0.7085040512080918,0.6978017737168403,456,0.4897959183673469
292,802,18,13350,340,4,0.8497888596753249,0.13782803529977813,392,0.48877805486284287
293,578,70,15209,109,5,0.6167291998374017,0.8540247051044871,283,0.48961937716262977
294,418,203,16759,857,6,0.7275620831720946,0.8384841793625343,204,0.4880382775119617
295,496,246,21914,182,7,0.436473017527474,0.5491526897588987,216,0.43548387096774194
296,447,208,19835,497,3,0.743396656891467,0.7764838245198292,219,0.4899328859060403
297,551,217,16489,303,2,0.6183389233873418,0.015397198726559628,269,0.4882032667876588
298,274,86,33756,1014,3,0.0,0.3538465191468806,0,0.0
299,670,88,12061,447,1,0.6605568550316049,0.9102980057598956,328,0.48955223880597015
300,186,20,31468,969,2,0.5022264867237827,0.6094330688995133,91,0.489247311827957
301,705,170,30154,1034,4,0.0,0.8515031871922687,0,0.0
302,233,98,25304,1020,1,0.582049635861196,0.18767932375011426,114,0.4892703862660944
303,756,235,32795,701,5,0.25,0.690007968489795,189,0.25
304,537,189,10086,941,2,0.7494139148478198,0.8376946197323172,263,0.4897579143389199
305,139,122,20824,425,2,0.8007000633549197,0.9529915612889245,68,0.4892086330935252
306,923,107,22662,421,6,0.6341462935919243,0.06713130150354941,452,0.48970747562296857
307,66,34,17869,1136,7,0.8454420953637303,0.11245981856368226,32,0.48484848484848486
308,106,105,25466,239,4,0.554756625645672,0.6802862792161668,51,0.4811320754716981
309,590,111,10491,282,4,0.8450287011614424,0.6332145299757965,289,0.48983050847457626
310,504,134,28298,69,6,0.7147410691910283,0.2704385419379561,246,0.4880952380952381
311,439,71,28543,434,7,0.7607619131942329,0.2391731835112203,215,0.489749430523918
312,238,162,6875,523,3,0.4662266088232376,0.7237157921482967,111,0.46638655462184875
313,75,74,22860,827,1,0.7130311978629604,0.5537696278933716,36,0.48
314,236,182,28003,221,6,0.7963054617598146,0.9009984677018394,115,0.4872881355932203
315,339,107,28560,484,4,0.6304474892724479,0.0033534682312697907,166,0.4896755162241888
316,826,143,33532,359,2,0.5444003285283199,0.7950892957571131,404,0.4891041162227603
317,408,104,15952,402,7,0.25,0.14939059079247835,102,0.25
318,707,48,22055,1108,4,0.4438012793946847,0.6838119575956623,314,0.44413012729844414
319,230,54,37668,791,3,0.25,0.43520998551991885,58,0.25217391304347825
320,31,30,33123,415,8,0.25,0.7589256547033464,8,0.25806451612903225
321,778,51,14180,520,2,0.6585360603860044,0.6379776264938263,381,0.4897172236503856
322,696,10,18001,327,3,0.4964476051015508,0.9126295707612677,341,0.4899425287356322
323,395,222,19638,643,1,0.515799261579943,0.11975868932511263,193,0.48860759493670886
324,969,61,17147,1081,2,0.5657478726156089,0.8789846460050764,474,0.4891640866873065
325,940,5,38396,615,3,0.4382400343052257,0.7831072210157125,412,0.43829787234042555
326,463,25,26346,380,0,0.0,0.7305728267801852,0,0.0
327,72,32,28060,521,6,0.49853010551058785,0.9158394453591919,35,0.4861111111111111
328,892,140,12801,578,4,0.7722636832133913,0.20192095276261954,437,0.4899103139013453
329,42,41,14548,256,1,0.8079408957331817,0.48305671961875124,20,0.47619047619047616
330,335,20,34476,91,7,0.25,0.8732826544169442,84,0.2507462686567164
331,320,102,15519,693,6,0.4201927518616687,0.495076545605631,134,0.41875
332,191,181,37102,1008,7,0.4262354169838975,0.8579456357330048,81,0.42408376963350786
333,423,30,35543,575,6,0.6691824419860102,0.38386893913216324,207,0.48936170212765956
334,191,146,17010,230,5,0.4893975377740322,0.39165414538446613,93,0.4869109947643979
335,799,198,22254,272,3,0.455796716043789,0.9985525094196163,364,0.4555694618272841
336,385,220,23756,666,7,0.7893211956618251,0.07229273965370653,188,0.4883116883116883
337,49,48,8280,948,0,0.44696863723276015,0.7340218161210001,22,0.4489795918367347
338,228,48,22510,630,1,0.3936687004481542,0.7115952732704095,90,0.39473684210526316
339,849,78,35955,1079,1,0.8351423423073723,0.8593890387752576,416,0.48998822143698467
340,603,173,16165,235,6,0.25,0.7758451278294791,151,0.2504145936981758
341,771,152,25250,1127,2,0.41786169387081407,0.17202562733591661,322,0.4176394293125811
342,653,220,21495,740,4,0.7807521980244301,0.7814128124844666,319,0.4885145482388974
343,467,162,12446,1020,7,0.8852226421321399,0.2848071098012795,228,0.48822269807280516
344,614,11,26138,813,6,0.4310503808166962,0.10140517608181283,265,0.43159609120521175
345,147,79,11330,313,8,0.3927220701081463,0.585668186264247,58,0.3945578231292517
346,441,232,23405,477,5,0.3860266188452792,0.9736040385071661,170,0.3854875283446712
347,926,41,7921,808,5,0.25,0.9887876071422244,232,0.2505399568034557
