config_id,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
83038,831,782,2,5.0,416203,7873062,38,selfish,0.3509947337216052,0.8424701912520188
83039,831,782,2,5.0,416203,7873062,39,selfish,0.4790241755215713,0.6177321915239017
83040,831,782,2,5.0,416203,7873062,40,selfish,0.2501126952506121,0.6454895199876196
83041,831,782,2,5.0,416203,7873062,41,selfish,0.3883150820571905,0.5577479977483336
83042,831,782,2,5.0,416203,7873062,42,selfish,0.2544637386172081,0.3417299389831262
83043,831,782,2,5.0,416203,7873062,43,selfish,0.3733963553970497,0.8234180661786772
83044,831,782,2,5.0,416203,7873062,44,selfish,0.3297294244236074,0.1851245903607699
83045,831,782,2,5.0,416203,7873062,45,selfish,0.2747520561924723,0.7307587255425585
83046,831,782,2,5.0,416203,7873062,46,selfish,0.4184444837622084,0.6687474950133617
83047,831,782,2,5.0,416203,7873062,47,selfish,0.4071129309119736,0.103198652756049
83048,831,782,2,5.0,416203,7873062,48,selfish,0.2114807290736435,0.0244607249130057
83049,831,782,2,5.0,416203,7873062,49,selfish,0.3008118292997498,0.7565167136190543
83050,831,782,2,5.0,416203,7873062,50,selfish,0.3349244931377773,0.5073741801149648
83051,831,782,2,5.0,416203,7873062,51,selfish,0.2182850515748211,0.1730815279492411
83052,831,782,2,5.0,416203,7873062,52,selfish,0.3898718220747056,0.4295434601453535
83053,831,782,2,5.0,416203,7873062,53,selfish,0.366882515038515,0.2362061315455737
83054,831,782,2,5.0,416203,7873062,54,selfish,0.3585232711576509,0.4092237628104323
83055,831,782,2,5.0,416203,7873062,55,selfish,0.3277016708096898,0.5663965080474668
83056,831,782,2,5.0,416203,7873062,56,selfish,0.4768512858671266,0.1447302436856452
83057,831,782,2,5.0,416203,7873062,57,selfish,0.2281547978409189,0.2464978385902064
83058,831,782,2,5.0,416203,7873062,58,selfish,0.3409275648695138,0.932574439505853
83059,831,782,2,5.0,416203,7873062,59,selfish,0.2977847312437251,0.2895622807306851
83060,831,782,2,5.0,416203,7873062,60,selfish,0.2892063661005389,0.2123889347471068
83061,831,782,2,5.0,416203,7873062,61,selfish,0.3070497535774244,0.9179940122389904
83062,831,782,2,5.0,416203,7873062,62,selfish,0.3350709844137344,0.6247506884808997
83063,831,782,2,5.0,416203,7873062,63,selfish,0.4714045721788255,0.7667985672256883
83064,831,782,2,5.0,416203,7873062,64,selfish,0.4895135847322587,0.8096004723526141
83065,831,782,2,5.0,416203,7873062,65,selfish,0.3439678088500045,0.0675229338756022
83066,831,782,2,5.0,416203,7873062,66,selfish,0.4409284566649496,0.3941260031346912
83067,831,782,2,5.0,416203,7873062,67,selfish,0.3604525200861999,0.8954386061007626
83068,831,782,2,5.0,416203,7873062,68,selfish,0.3706046305857265,0.4761663270697934
83069,831,782,2,5.0,416203,7873062,69,selfish,0.2070972729458678,0.2979198700199214
83070,831,782,2,5.0,416203,7873062,70,selfish,0.4344347691369841,0.0048962068848224
83071,831,782,2,5.0,416203,7873062,71,selfish,0.3239323376009491,0.868936778850477
83072,831,782,2,5.0,416203,7873062,72,selfish,0.3156406422303758,0.3774553900605352
83073,831,782,2,5.0,416203,7873062,73,selfish,0.2631399047202775,0.494072025933513
83074,831,782,2,5.0,416203,7873062,74,selfish,0.4831039344913304,0.9827660363748432
83075,831,782,2,5.0,416203,7873062,75,selfish,0.2525545317138812,0.4401811270174162
83076,831,782,2,5.0,416203,7873062,76,selfish,0.3027820674966874,0.514144872517883
83077,831,782,2,5.0,416203,7873062,77,selfish,0.2375482709814891,0.0892183280233827
83078,831,782,2,5.0,416203,7873062,78,selfish,0.3815618301396259,0.7050527606912402
83079,831,782,2,5.0,416203,7873062,79,selfish,0.3642632456563252,0.6890479996878222
83080,831,782,2,5.0,416203,7873062,80,selfish,0.2816906079992455,0.4111680330999803
83081,831,782,2,5.0,416203,7873062,81,selfish,0.2269416996374781,0.4804242585572029
83082,831,782,2,5.0,416203,7873062,82,selfish,0.3128186843462212,0.0598593952629424
83083,831,782,2,5.0,416203,7873062,83,selfish,0.2028601193675408,0.7764128459904844
83084,831,782,2,5.0,416203,7873062,84,selfish,0.4277086989642705,0.7484720574557526
83085,831,782,2,5.0,416203,7873062,85,selfish,0.4024582743628092,0.7244830604083918
83086,831,782,2,5.0,416203,7873062,86,selfish,0.4461023732799478,0.2773058726188811
83087,831,782,2,5.0,416203,7873062,87,selfish,0.3108669576156866,0.5798034448113424
83088,831,782,2,5.0,416203,7873062,88,selfish,0.4229568538429628,0.8766829270547112
83089,831,782,2,5.0,416203,7873062,89,selfish,0.2129379249701362,0.6944582199785999
83090,831,782,2,5.0,416203,7873062,90,selfish,0.3196298037016608,0.990883980492858
83091,831,782,2,5.0,416203,7873062,91,selfish,0.3969614753991711,0.3291381696463736
83092,831,782,2,5.0,416203,7873062,92,selfish,0.3544902343139808,0.0312541994926666
83093,831,782,2,5.0,416203,7873062,93,selfish,0.2779592827386458,0.3345825728904498
83094,831,782,2,5.0,416203,7873062,94,selfish,0.2857700497959219,0.1163714164083326
83095,831,782,2,5.0,416203,7873062,95,selfish,0.3751229337419657,0.1974510188067169
83096,831,782,2,5.0,416203,7873062,96,selfish,0.4626922801013836,0.4528896718855326
83097,831,782,2,5.0,416203,7873062,97,selfish,0.4855618445578609,0.1689982716058866
83098,831,782,2,5.0,416203,7873062,98,selfish,0.21729239263723,0.8840829656528192
83099,831,782,2,5.0,416203,7873062,99,selfish,0.3227365905845993,0.0746241892293311
83100,831,782,2,5.0,416203,7873062,100,selfish,0.4158727914731683,0.6511808318464773
83101,832,782,2,7.1,416203,7873062,1,selfish,0.3857676334163057,0.2047082508361712
83102,832,782,2,7.1,416203,7873062,2,selfish,0.2959114945914544,0.9228509849216918
83103,832,782,2,7.1,416203,7873062,3,selfish,0.405342196225377,0.1209354681890304
83104,832,782,2,7.1,416203,7873062,4,selfish,0.2627648343443758,0.7190241322679278
83105,832,782,2,7.1,416203,7873062,5,selfish,0.4995762557070848,0.3625281920046287
83106,832,782,2,7.1,416203,7873062,6,selfish,0.4911132375299709,0.252577974178488
83107,832,782,2,7.1,416203,7873062,7,selfish,0.4657787213448116,0.0151426399118454
83108,832,782,2,7.1,416203,7873062,8,selfish,0.3927810904963459,0.8167673407001561
83109,832,782,2,7.1,416203,7873062,9,selfish,0.2331676534838964,0.9471927912224244
83110,832,782,2,7.1,416203,7873062,10,selfish,0.4737946714611262,0.5224738795684104
83111,832,782,2,7.1,416203,7873062,11,selfish,0.3777435584279705,0.3053722478730439
83112,832,782,2,7.1,416203,7873062,12,selfish,0.3985108847427614,0.9637929216712549
83113,832,782,2,7.1,416203,7873062,13,selfish,0.2238256630629619,0.7912632295125752
83114,832,782,2,7.1,416203,7873062,14,selfish,0.4312459512484686,0.5424263205795637
83115,832,782,2,7.1,416203,7873062,15,selfish,0.28091147618982,0.9551352008768642
83116,832,782,2,7.1,416203,7873062,16,selfish,0.4208942434349683,0.0948525522924531
83117,832,782,2,7.1,416203,7873062,17,selfish,0.4372556438030128,0.9067257327686692
83118,832,782,2,7.1,416203,7873062,18,selfish,0.2312345941585266,0.3847746110331581
83119,832,782,2,7.1,416203,7873062,19,selfish,0.4954733651280948,0.0419355939468332
83120,832,782,2,7.1,416203,7873062,20,selfish,0.2461140406262255,0.1374999707243197
83121,832,782,2,7.1,416203,7873062,21,selfish,0.2397567210258474,0.5887702959721403
83122,832,782,2,7.1,416203,7873062,22,selfish,0.24260325729568,0.2220357375157741
83123,832,782,2,7.1,416203,7873062,23,selfish,0.3494898166749496,0.4302371480503864
83124,832,782,2,7.1,416203,7873062,24,selfish,0.4574864654719545,0.463400582232104
83125,832,782,2,7.1,416203,7873062,25,selfish,0.454095890072901,0.6742162468199493
83126,832,782,2,7.1,416203,7873062,26,selfish,0.2702561230694959,0.837478784452857
83127,832,782,2,7.1,416203,7873062,27,selfish,0.4590052735626949,0.5951250624738255
83128,832,782,2,7.1,416203,7873062,28,selfish,0.4304538627565802,0.2618674911675315
83129,832,782,2,7.1,416203,7873062,29,selfish,0.2901917465581629,0.3137113417077046
83130,832,782,2,7.1,416203,7873062,30,selfish,0.2039812783100412,0.857228363045134
83131,832,782,2,7.1,416203,7873062,31,selfish,0.2689147210983604,0.7842712343444325
83132,832,782,2,7.1,416203,7873062,32,selfish,0.4495856593533723,0.6338235473212548
83133,832,782,2,7.1,416203,7873062,33,selfish,0.2594311744995365,0.5379384620687854
83134,832,782,2,7.1,416203,7873062,34,selfish,0.4113840234518945,0.152863497296565
83135,832,782,2,7.1,416203,7873062,35,selfish,0.444752781116749,0.3583252290098091
83136,832,782,2,7.1,416203,7873062,36,selfish,0.3461077870164497,0.600169191961039
83137,832,782,2,7.1,416203,7873062,37,selfish,0.469568977189866,0.9743873423433428
83138,832,782,2,7.1,416203,7873062,38,selfish,0.3509947337216052,0.8424701912520188
83139,832,782,2,7.1,416203,7873062,39,selfish,0.4790241755215713,0.6177321915239017
83140,832,782,2,7.1,416203,7873062,40,selfish,0.2501126952506121,0.6454895199876196
83141,832,782,2,7.1,416203,7873062,41,selfish,0.3883150820571905,0.5577479977483336
83142,832,782,2,7.1,416203,7873062,42,selfish,0.2544637386172081,0.3417299389831262
83143,832,782,2,7.1,416203,7873062,43,selfish,0.3733963553970497,0.8234180661786772
83144,832,782,2,7.1,416203,7873062,44,selfish,0.3297294244236074,0.1851245903607699
83145,832,782,2,7.1,416203,7873062,45,selfish,0.2747520561924723,0.7307587255425585
83146,832,782,2,7.1,416203,7873062,46,selfish,0.4184444837622084,0.6687474950133617
83147,832,782,2,7.1,416203,7873062,47,selfish,0.4071129309119736,0.103198652756049
83148,832,782,2,7.1,416203,7873062,48,selfish,0.2114807290736435,0.0244607249130057
83149,832,782,2,7.1,416203,7873062,49,selfish,0.3008118292997498,0.7565167136190543
83150,832,782,2,7.1,416203,7873062,50,selfish,0.3349244931377773,0.5073741801149648
83151,832,782,2,7.1,416203,7873062,51,selfish,0.2182850515748211,0.1730815279492411
83152,832,782,2,7.1,416203,7873062,52,selfish,0.3898718220747056,0.4295434601453535
83153,832,782,2,7.1,416203,7873062,53,selfish,0.366882515038515,0.2362061315455737
83154,832,782,2,7.1,416203,7873062,54,selfish,0.3585232711576509,0.4092237628104323
83155,832,782,2,7.1,416203,7873062,55,selfish,0.3277016708096898,0.5663965080474668
83156,832,782,2,7.1,416203,7873062,56,selfish,0.4768512858671266,0.1447302436856452
83157,832,782,2,7.1,416203,7873062,57,selfish,0.2281547978409189,0.2464978385902064
83158,832,782,2,7.1,416203,7873062,58,selfish,0.3409275648695138,0.932574439505853
83159,832,782,2,7.1,416203,7873062,59,selfish,0.2977847312437251,0.2895622807306851
83160,832,782,2,7.1,416203,7873062,60,selfish,0.2892063661005389,0.2123889347471068
83161,832,782,2,7.1,416203,7873062,61,selfish,0.3070497535774244,0.9179940122389904
83162,832,782,2,7.1,416203,7873062,62,selfish,0.3350709844137344,0.6247506884808997
83163,832,782,2,7.1,416203,7873062,63,selfish,0.4714045721788255,0.7667985672256883
83164,832,782,2,7.1,416203,7873062,64,selfish,0.4895135847322587,0.8096004723526141
83165,832,782,2,7.1,416203,7873062,65,selfish,0.3439678088500045,0.0675229338756022
83166,832,782,2,7.1,416203,7873062,66,selfish,0.4409284566649496,0.3941260031346912
83167,832,782,2,7.1,416203,7873062,67,selfish,0.3604525200861999,0.8954386061007626
83168,832,782,2,7.1,416203,7873062,68,selfish,0.3706046305857265,0.4761663270697934
83169,832,782,2,7.1,416203,7873062,69,selfish,0.2070972729458678,0.2979198700199214
83170,832,782,2,7.1,416203,7873062,70,selfish,0.4344347691369841,0.0048962068848224
83171,832,782,2,7.1,416203,7873062,71,selfish,0.3239323376009491,0.868936778850477
83172,832,782,2,7.1,416203,7873062,72,selfish,0.3156406422303758,0.3774553900605352
83173,832,782,2,7.1,416203,7873062,73,selfish,0.2631399047202775,0.494072025933513
83174,832,782,2,7.1,416203,7873062,74,selfish,0.4831039344913304,0.9827660363748432
83175,832,782,2,7.1,416203,7873062,75,selfish,0.2525545317138812,0.4401811270174162
83176,832,782,2,7.1,416203,7873062,76,selfish,0.3027820674966874,0.514144872517883
83177,832,782,2,7.1,416203,7873062,77,selfish,0.2375482709814891,0.0892183280233827
83178,832,782,2,7.1,416203,7873062,78,selfish,0.3815618301396259,0.7050527606912402
83179,832,782,2,7.1,416203,7873062,79,selfish,0.3642632456563252,0.6890479996878222
83180,832,782,2,7.1,416203,7873062,80,selfish,0.2816906079992455,0.4111680330999803
83181,832,782,2,7.1,416203,7873062,81,selfish,0.2269416996374781,0.4804242585572029
83182,832,782,2,7.1,416203,7873062,82,selfish,0.3128186843462212,0.0598593952629424
83183,832,782,2,7.1,416203,7873062,83,selfish,0.2028601193675408,0.7764128459904844
83184,832,782,2,7.1,416203,7873062,84,selfish,0.4277086989642705,0.7484720574557526
83185,832,782,2,7.1,416203,7873062,85,selfish,0.4024582743628092,0.7244830604083918
83186,832,782,2,7.1,416203,7873062,86,selfish,0.4461023732799478,0.2773058726188811
83187,832,782,2,7.1,416203,7873062,87,selfish,0.3108669576156866,0.5798034448113424
83188,832,782,2,7.1,416203,7873062,88,selfish,0.4229568538429628,0.8766829270547112
83189,832,782,2,7.1,416203,7873062,89,selfish,0.2129379249701362,0.6944582199785999
83190,832,782,2,7.1,416203,7873062,90,selfish,0.3196298037016608,0.990883980492858
83191,832,782,2,7.1,416203,7873062,91,selfish,0.3969614753991711,0.3291381696463736
83192,832,782,2,7.1,416203,7873062,92,selfish,0.3544902343139808,0.0312541994926666
83193,832,782,2,7.1,416203,7873062,93,selfish,0.2779592827386458,0.3345825728904498
83194,832,782,2,7.1,416203,7873062,94,selfish,0.2857700497959219,0.1163714164083326
83195,832,782,2,7.1,416203,7873062,95,selfish,0.3751229337419657,0.1974510188067169
83196,832,782,2,7.1,416203,7873062,96,selfish,0.4626922801013836,0.4528896718855326
83197,832,782,2,7.1,416203,7873062,97,selfish,0.4855618445578609,0.1689982716058866
83198,832,782,2,7.1,416203,7873062,98,selfish,0.21729239263723,0.8840829656528192
83199,832,782,2,7.1,416203,7873062,99,selfish,0.3227365905845993,0.0746241892293311
83200,832,782,2,7.1,416203,7873062,100,selfish,0.4158727914731683,0.6511808318464773
